image_id,model,language,Ethnic_Group,Rating_1to5,Accuracy_1to5,Completeness_1to5,Cultural_Depth_1to5,origin,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Miao_0105,qwen2.5-vl-7b,en,Miao,4,4,5,4,chinese,Miao,3649,538,0.5037174721189591,0.1348314606741573,12,0.0,0,3,0,0.0,
Yi_0369,claude-haiku-4.5,zh,Yi,4,4,5,5,western,Yi,989,660,0.4318181818181818,0.21875,21,0.0,0,4,0,0.0,
Yi_0371,qwen2-vl-7b,zh,Yi,3,4,5,3,chinese,Yi,539,492,0.35772357723577236,0.14583333333333334,14,0.0,0,4,0,0.0,
Miao_0061,llama-3.2-vision-11b,zh,Miao,3,4,5,2,western,Miao,343,291,0.36769759450171824,0.10416666666666667,10,0.0,0,4,0,0.0,
Li_0260,claude-haiku-4.5,en,Li,4,4,5,3,western,Li,2461,309,0.6796116504854369,0.14606741573033707,13,0.0,0,4,0,0.0,
Li_0246,gpt-4o-mini,zh,Li,4,4,5,3,western,Li,621,516,0.43992248062015504,0.16666666666666666,16,0.0,0,4,0,0.0,
Tibetan_0276,qwen2-vl-7b,zh,Tibetan,4,4,5,3,chinese,Tibetan,481,433,0.39260969976905313,0.14583333333333334,14,0.0,0,8,0,0.0,
Dong_0236,qwen2.5-vl-7b,zh,Dong,3,2,5,3,chinese,Dong,846,739,0.3910690121786198,0.21875,21,0.0,0,4,0,0.0,
Dong_0210,gpt-4o-mini,zh,Dong,4,4,5,4,western,Dong,672,574,0.41114982578397213,0.14583333333333334,14,0.0,0,4,0,0.0,
Miao_0083,claude-haiku-4.5,zh,Miao,3,3,5,4,western,Miao,1341,782,0.3989769820971867,0.1875,18,0.0,0,4,0,0.0,
Tibetan_0597,gpt-4o-mini,zh,Tibetan,4,3,5,4,western,Tibetan,714,620,0.3580645161290323,0.14583333333333334,14,0.0,0,8,0,0.0,
Tibetan_0210,llama-3.2-vision-11b,en,Tibetan,4,4,5,4,western,Tibetan,2316,373,0.4289544235924933,0.14606741573033707,13,0.0,0,8,0,0.0,
Tibetan_0249,gpt-4o-mini,en,Tibetan,4,4,5,4,western,Tibetan,2953,423,0.5319148936170213,0.14606741573033707,13,0.0,0,8,0,0.0,
Tibetan_0102,gpt-4o-mini,zh,Tibetan,4,4,5,3,western,Tibetan,665,571,0.425569176882662,0.16666666666666666,16,0.0,0,8,0,0.0,
Li_0371,llama-3.2-vision-11b,zh,Li,4,4,5,3,western,Li,1765,1442,0.01872399445214979,0.0,0,0.0,0,4,0,0.0,
Miao_0571,llama-3.2-vision-11b,zh,Miao,3,3,5,2,western,Miao,266,239,0.45188284518828453,0.08333333333333333,8,0.0,0,4,0,0.0,
Dong_0260,gpt-4o-mini,zh,Dong,4,4,5,4,western,Dong,671,576,0.4010416666666667,0.14583333333333334,14,0.0,0,4,0,0.0,
Yi_0317,qwen2.5-vl-7b,zh,Yi,4,3,5,4,chinese,Yi,868,763,0.36304062909567497,0.17708333333333334,17,0.0,0,4,0,0.0,
Dong_0177,qwen2-vl-7b,zh,Dong,4,3,5,4,chinese,Dong,722,623,0.3274478330658106,0.15625,15,0.0,0,4,0,0.0,
Miao_0177,claude-haiku-4.5,zh,Miao,5,4,5,5,western,Miao,1380,933,0.3783494105037513,0.25,24,0.0,0,4,0,0.0,
Yi_0156,llama-3.2-vision-11b,en,Yi,4,3,5,4,western,Yi,2627,375,0.4826666666666667,0.15730337078651685,14,0.0,0,4,1,0.05263157894736842,
Dong_0182,qwen2.5-vl-7b,en,Dong,4,4,5,4,chinese,Dong,3648,547,0.5191956124314442,0.20224719101123595,18,0.0,0,4,0,0.0,
Tibetan_0538,qwen2-vl-7b,en,Tibetan,4,3,5,4,chinese,Tibetan,2711,400,0.4225,0.16853932584269662,15,0.0,0,8,0,0.0,
Yi_0590,llama-3.2-vision-11b,zh,Yi,1,1,1,1,western,Yi,3968,3711,0.008353543519267044,0.03125,3,0.0,0,4,0,0.0,
Li_0491,qwen2.5-vl-7b,zh,Li,4,4,5,3,chinese,Li,962,845,0.37514792899408284,0.17708333333333334,17,0.0,0,4,0,0.0,
Miao_0031,gpt-4o-mini,en,Miao,4,4,5,4,western,Miao,2943,435,0.4850574712643678,0.15730337078651685,14,0.0,0,3,0,0.0,
Tibetan_0156,llama-3.2-vision-11b,zh,Tibetan,4,3,5,4,western,Tibetan,679,618,0.19093851132686085,0.10416666666666667,10,0.0,0,8,0,0.0,
Tibetan_0474,qwen2.5-vl-7b,zh,Tibetan,5,4,5,4,chinese,Tibetan,810,709,0.3751763046544429,0.15625,15,0.0,0,8,0,0.0,
Li_0210,gpt-4o-mini,zh,Li,4,4,5,3,western,Li,632,527,0.444022770398482,0.15625,15,0.0,0,4,0,0.0,
Dong_0454,claude-haiku-4.5,zh,Dong,4,4,5,3,western,Dong,927,644,0.39906832298136646,0.16666666666666666,16,0.0,0,4,0,0.0,
Dong_0258,llama-3.2-vision-11b,en,Dong,3,2,5,3,western,Dong,2421,398,0.4271356783919598,0.21348314606741572,19,0.0,0,4,0,0.0,
Dong_0592,llama-3.2-vision-11b,en,Dong,3,2,5,4,western,Dong,3570,554,0.3971119133574007,0.1797752808988764,16,0.0,0,4,0,0.0,
Miao_0438,llama-3.2-vision-11b,en,Miao,4,4,5,4,western,Miao,3328,529,0.3591682419659735,0.12359550561797752,11,0.0,0,3,0,0.0,
Li_0537,qwen2-vl-7b,zh,Li,3,2,5,4,chinese,Li,644,541,0.37707948243992606,0.21875,21,0.0,0,4,0,0.0,
Tibetan_0007,claude-haiku-4.5,en,Tibetan,3,3,5,4,western,Tibetan,2985,360,0.6527777777777778,0.11235955056179775,10,0.0,0,8,0,0.0,
Yi_0012,qwen2-vl-7b,en,Yi,5,4,5,4,chinese,Yi,2831,416,0.4519230769230769,0.1797752808988764,16,0.0,0,4,0,0.0,
Yi_0285,llama-3.2-vision-11b,en,Yi,4,3,5,4,western,Yi,3118,484,0.4132231404958678,0.1797752808988764,16,0.0,0,4,0,0.0,
Tibetan_0370,qwen2-vl-7b,zh,Tibetan,3,3,5,4,chinese,Tibetan,827,726,0.2837465564738292,0.125,12,0.0,0,8,0,0.0,
Yi_0571,claude-haiku-4.5,en,Yi,3,3,5,4,western,Yi,3397,421,0.5700712589073634,0.1797752808988764,16,0.0,0,4,0,0.0,
Miao_0491,qwen2-vl-7b,en,Miao,5,4,5,5,chinese,Miao,2691,387,0.4392764857881137,0.1797752808988764,16,0.0,0,3,0,0.0,
Li_0474,llama-3.2-vision-11b,en,Li,4,4,5,4,western,Li,3033,483,0.37681159420289856,0.15730337078651685,14,0.0,0,4,0,0.0,
Li_0087,qwen2-vl-7b,zh,Li,4,4,5,4,chinese,Li,756,661,0.32223903177004537,0.125,12,0.0,0,4,0,0.0,
Li_0258,qwen2.5-vl-7b,en,Li,4,4,5,4,chinese,Li,3301,503,0.48111332007952284,0.1797752808988764,16,0.0,0,4,0,0.0,
Dong_0102,claude-haiku-4.5,en,Dong,4,3,5,4,western,Dong,3025,373,0.6353887399463807,0.1348314606741573,12,0.0,0,4,0,0.0,
Dong_0007,qwen2.5-vl-7b,zh,Dong,4,3,5,4,chinese,Dong,719,627,0.42902711323763953,0.15625,15,0.0,0,4,0,0.0,
Li_0213,llama-3.2-vision-11b,en,Li,3,3,5,3,western,Li,1326,206,0.4854368932038835,0.1348314606741573,12,0.0,0,4,0,0.0,
Li_0031,qwen2-vl-7b,en,Li,3,4,5,3,chinese,Li,2701,392,0.44387755102040816,0.14606741573033707,13,0.0,0,4,0,0.0,
Dong_0011,gpt-4o-mini,en,Dong,4,4,5,4,western,Dong,3079,436,0.5160550458715596,0.1797752808988764,16,0.0,0,4,0,0.0,
Miao_0433,claude-haiku-4.5,en,Miao,4,4,5,4,western,Miao,3173,376,0.6117021276595744,0.16853932584269662,15,0.0,0,3,0,0.0,
