image_id,model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Tibetan_0260,qwen2.5-vl-7b,chinese,en,Tibetan,3154,461,0.5466377440347071,0.16853932584269662,15,0.125,1,8,0,0.0,turquoise
Tibetan_0239,qwen2.5-vl-7b,chinese,en,Tibetan,3030,449,0.5412026726057907,0.15730337078651685,14,0.0,0,8,0,0.0,
Li_0369,qwen2.5-vl-7b,chinese,en,Li,3404,512,0.509765625,0.1348314606741573,12,0.0,0,4,0,0.0,
Dong_0082,qwen2.5-vl-7b,chinese,en,Dong,3890,588,0.4880952380952381,0.20224719101123595,18,0.0,0,4,0,0.0,
Yi_0246,qwen2.5-vl-7b,chinese,en,Yi,3232,496,0.5060483870967742,0.16853932584269662,15,0.0,0,4,1,0.05263157894736842,
Dong_0350,qwen2.5-vl-7b,chinese,en,Dong,5431,866,0.3960739030023095,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0260,qwen2.5-vl-7b,chinese,en,Li,3259,476,0.5189075630252101,0.15730337078651685,14,0.0,0,4,0,0.0,
Yi_0011,qwen2.5-vl-7b,chinese,en,Yi,3506,530,0.5245283018867924,0.19101123595505617,17,0.0,0,4,0,0.0,
Dong_0074,qwen2.5-vl-7b,chinese,en,Dong,4111,620,0.5,0.20224719101123595,18,0.0,0,4,0,0.0,
Tibetan_0007,qwen2.5-vl-7b,chinese,en,Tibetan,3686,550,0.509090909090909,0.1797752808988764,16,0.0,0,8,0,0.0,
Tibetan_0371,qwen2.5-vl-7b,chinese,en,Tibetan,3464,527,0.540796963946869,0.1797752808988764,16,0.0,0,8,0,0.0,
Yi_0281,qwen2.5-vl-7b,chinese,en,Yi,2981,449,0.534521158129176,0.12359550561797752,11,0.0,0,4,0,0.0,
Dong_0596,qwen2.5-vl-7b,chinese,en,Dong,3584,532,0.4924812030075188,0.1797752808988764,16,0.0,0,4,1,0.05263157894736842,
Tibetan_0031,qwen2.5-vl-7b,chinese,en,Tibetan,3802,555,0.5153153153153153,0.1797752808988764,16,0.25,2,8,0,0.0,turquoise;coral
Yi_0079,qwen2.5-vl-7b,chinese,en,Yi,3298,483,0.5031055900621118,0.16853932584269662,15,0.0,0,4,0,0.0,
